title,artist,album,track_id,album_id,album_image,lyrics,like_count,genre,style,release_date,news1,news2,news3
사랑하기 싫어,지아(Zia),사랑하기 싫어,6191191,4084017,https://image.bugsm.co.kr/album/images/200/40840/4084017.jpg?version=20230309161654.0,"숨을 내쉴 때마다
눈을 감을 때마다
니 생각이 나 먹먹해진다
하루 열두 시간이라면
스물네 시간의 반이면
외로움마저 반으로 줄 텐데
거지 같은 미련이 남아
추억을 주워 담아
사랑하고 싶어 하다가
주고 싶어 주다가
텅 빈 이내 맘
이별하기 싫어 울다가
받기 싫어 버텨보다가
결국 이렇게 나 혼자
거지 같은 미련이 남아
추억을 주워 담아
사랑하고 싶어 하다가
주고 싶어 주다가
텅 빈 이내 맘
이별하기 싫어 울다가
받기 싫어 버텨보다가
결국 이렇게 나 혼자
기나긴 시간이 지난 지금까지
못 잊어 그리워해
눈물 내일이면 그칠까
사랑하고 싶어 하다가
주고 싶어 주다가
텅 빈 이내 맘
이별하기 싫어 울다가
받기 싫어 버텨보다가
셀 수 없게 난 보기 싫게 난
결국 이렇게 나 혼자

Bugs 님이 등록해 주신 가사입니다.
						
가사 오류 제보",477.0,발라드,발라드,2023.02.24,http://www.topstarnews.net/news/articleView.html?idxno=15313095,https://www.ekn.kr/web/view.php?key=20230102010000275,http://www.topstarnews.net/detail.php?number=177947
너의 모든 순간,성시경,별에서 온 그대 (SBS 수목드라마) OST - Part.7,3387407,413209,https://image.bugsm.co.kr/album/images/200/4132/413209.jpg?version=20210203135508.0,"이윽고 내가 한눈에 너를 알아봤을 때
모든 건 분명 달라지고 있었어 
내 세상은 널 알기 전과 후로 나뉘어

니가 숨 쉬면 따스한 바람이 불어와
니가 웃으면 눈부신 햇살이 비춰

거기 있어줘서 그게 너라서
가끔 내 어깨에 가만히 기대주어서
나는 있잖아 정말 빈틈없이 행복해
너를 따라서 시간은 흐르고 멈춰

물끄러미 너를 들여다보곤 해
그것 말고는 아무것도 할 수 없어서
너의 모든 순간 그게 나였으면 좋겠다
생각만 해도 가슴이 차올라 나는 온통 너로

보고 있으면 왠지 꿈처럼 아득한 것
몇 광년 동안 날 향해 날아온 별빛 또 지금의 너

거기 있어줘서 그게 너라서
가끔 나에게 조용하게 안겨주어서
나는 있잖아 정말 남김없이 고마워
너를 따라서 시간은 흐르고 멈춰

물끄러미 너를 들여다보곤 해
너를 보는 게 나에게는 사랑이니까
너의 모든 순간 그게 나였으면 좋겠다
생각만 해도 가슴이 차올라 나는 온통 너로
니 모든 순간 나였으면

bugsmanager 님이 등록해 주신 가사입니다.
						
가사 오류 제보",10493.0,"발라드, OST","발라드, TV 드라마",2014.02.12,https://news.jtbc.co.kr/article/article.aspx?news_id=NB12125632,http://biz.heraldcorp.com/view.php?ud=202305091602513890280_1,http://enews.imbc.com/News/RetrieveNewsInfo/381469
Monologue,테이(Tei),Monologue,6176266,4079823,https://image.bugsm.co.kr/album/images/200/40798/4079823.jpg?version=20221022004025.0,"다 잊었다는 거짓말
또 해 버렸죠
내 마음에 그대란 사람
없다고 했죠
너무나 쉽게 잊혀졌다고
이젠 남이라고
서툰 내 사랑에 지쳐 떠난 그대
너무 많이 울려서
잡을 용기조차 낼 수 없었죠
미안해요 내 사랑아
다신 나 같은 사람 만나지 마요
혹시 찾아가도 두 번 다시
나를 허락해 주지 마요
그댄 여리고 너무 착해서
싫단 말도 잘 못하는데
많이 부족한 나를 사랑한 그대
이거면 됐어요 더 이상은
그대 불행하지 않도록
나 이쯤에서 없어지는 게
그댈 위한 나의 사랑인 걸요
너무 투명해서 때론 불안했죠
제멋대로 살아온 나를
감당할 수 없을 것 같죠
미안해요 내 사랑아
다신 나 같은 사람 만나지 마요
혹시 찾아가도 두 번 다시
나를 허락해 주지 마요
그댄 여리고 너무 착해서
싫단 말도 잘 못하는데
고마웠어요 나를 사랑해 줘서
나 같은 사람이 두 번 다시
감히 받을 수 없는 사랑
그대 때문에 행복했어요
울지 마요 그대
잘 생각해 봐요
나쁜 일들만 가득했던 우리
다 잊어야 해요
다신 나 같은 사람 만나지 마요
혹시 찾아가도 두 번 다시
나를 허락해 주지 마요
그댄 여리고 너무 착해서
싫단 말도 잘 못하는데
많이 부족한 나를 사랑한 그대
이거면 됐어요
더 이상은 그대 불행하지 않도록
나 이쯤에서 없어지는 게
그댈 위한 나의 사랑인 걸요

Bugs 님이 등록해 주신 가사입니다.
						
가사 오류 제보",2413.0,발라드,발라드,2022.09.18,https://star.ytn.co.kr/_sn/0117_202304171152140089,http://starin.edaily.co.kr/news/newspath.asp?newsid=01187366635577104,http://www.topstarnews.net/news/articleView.html?idxno=15264820
Say I Love You,우디(Woody),Say I Love You (Re : WIND 4MEN Vol.04),32735024,20535938,https://image.bugsm.co.kr/album/images/200/205359/20535938.jpg?version=20221222002623.0,"입을 맞춰도 불안하고
품에 안아도 초조하고
잠이 들 때도 꿈처럼 사라질까
밤새 뒤척이고
보면 볼수록 겁이 나고
겁이 날수록 더 보고 싶고
사랑할수록 네가 날 떠날까 봐
두려워지나 봐
사랑을 다 줘도 불안한 건 남자야
넌 너무 모르지 남자의 사랑을
사랑할수록 더 보고 싶고
보면 볼수록 더 안달 나고
평생 내 여자로 만들고픈
조급한 마음인걸
평생 내 여자로 살아줄래
나 말곤 없다고 말해줄래
조금도 불안해하지 않게
한 번 더 말해줄래 Say I love you
Say I love you
Say I love you
Say I love you
사랑할수록 닮아가고
날이 갈수록 더 좋아져
함께 할수록 난 너 없인 못 살아
너 책임져
사랑을 다 줘도 불안한 건 남자야
넌 너무 모르지 남자의 사랑을
사랑할수록 더 보고 싶고
보면 볼수록 더 안달 나고
평생 내 여자로 만들고픈
조급한 마음인걸
평생 내 여자로 살아줄래
나 말곤 없다고 말해줄래
조금도 불안해하지 않게
한 번 더 말해줄래 Say I love you
Say I love you Say I love you
약속해줘 You are the only my love
한 여자만을 사랑하니까
내겐 그 여자는 너 하나니까
자꾸만 네 사랑을 보채도
날 미워하지는 마
평생 내 여자로 살아줄래
나 말곤 없다고 말해줄래
조금도 불안해하지 않게
한 번 더 말해줄래
Say I love you
Say I love you Say I love you
Say I love you Say I love you

Bugs 님이 등록해 주신 가사입니다.
						
가사 오류 제보",1566.0,발라드,발라드,2022.12.21,https://www.cbci.co.kr/news/articleView.html?idxno=440327,https://www.newsen.com/news_view.php?uid=202304241055100310,http://www.segye.com/content/html/2023/04/24/20230424513683.html?OutUrl=naver
마지막 사랑,신예영,마지막 사랑,6187426,4083020,https://image.bugsm.co.kr/album/images/200/40830/4083020.jpg?version=20230204014524.0,"몰랐었어 너의 그바램들을
모두 이해한다 믿고만 싶었던거야
너무 힘들다고 말하는 널 보며
잠시 헤어지자고 말을 했던 나였어
미안했어 나의 이기심들에
상처입어가는 널 보지 못했던거야
마지막이라고 믿었던 사랑을 바보처럼 보내고
사진속에 웃고 있는 너를봐
어디 있니 넌 지금 점점 바래져가는
니 모습 그려보고 있어
단 한번이라도 내 모습 떠올라
긴 한숨짓고 있다면 다시 돌아와
너를 위해 비워둔 내 맘속 그곳에
마지막 사랑이라 믿는 내게로
미안했어 나의 이기심들에
상처입어가는 널 보지 못했던거야
마지막이라고 믿었던 사랑을 바보처럼 보내고
사진속에 웃고 있는 너를봐
어디있니 넌 지금 점점 바래져가는
니 모습 그려보고 있어
단 한번이라도 내 모습 떠올라
긴 한숨 짓고 있다면 다시 돌아와
너를 위해 비워둔 내 맘속 그곳에
영원히 나를 지켜줘
단 한번이라도 내 모습 떠올라
긴 한숨짓고 있다면 다시 돌아와
너를 위해 비워둔 내 맘속 그곳에
마지막 사랑이라 믿는 내게로

Bugs 님이 등록해 주신 가사입니다.
						
가사 오류 제보",708.0,발라드,발라드,2023.01.12,http://www.rookie.co.kr/news/articleView.html?idxno=86544,http://www.topstarnews.net/news/articleView.html?idxno=15323245,https://www.starnewskorea.com/stview.php?no=2023040516531099668
다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호),6110464,4045282,https://image.bugsm.co.kr/album/images/200/40452/4045282.jpg?version=20210927154638.0,"끝없이 별빛이 내리던 밤
기분 좋은 바람이
두 뺨을 스치고
새벽 바다 한곳을 보는
아름다운 너와 나
그림을 그려갔어
모래 위 떨린 손끝으로
날 향해 웃어주는 입술
끝 모양과 저 달보다
사랑스러운 두 눈을 가진 네가
다정히 내 이름을
부르면 내 마음이
녹아내려 언제나
나 하날 위해 준비된
선물 같아 널 안으면
잠들지 않는 바다 위를
너와 함께 걷는 거 같아
하늘 아래 너와 나
남은 내 모든 날을 너에게
다 줘도 안 아까워
이제서야 내가
사랑에 눈을 뜬 건 가봐
경험하지 못했고
믿기지 않는 일만
일어나고 있는 거 아니
5월에 피는 봄꽃 처럼
내 사랑도 피어나
부는 바람에 살며시 실어 보내
다정히 내 이름을
부르면 내 마음이
녹아내려 언제나
나 하날 위해 준비된
선물 같아 널 안으면
잠들지 않는 바다 위를
너와 함께 걷는 거 같아
하늘 아래 너와 나
설레는 지금이
꿈이 아닌 걸 알잖아
난 더 바랄 게 없어
먼 훗날 내 생애
아주 작은 소리로
귓가에 말할 거야
내 곁에 머물러줘서
마음 다해 고맙다고
어떤 말로도 표현 못 할
내 인생의 전부였다고
이 순간  너를 꼭 안고
고백할게 언제나
우리 모든 날들과
별빛 아래 우리 그림자
제일로 특별하다고
길고 긴 겨울 끝을 지나
너의 앞에 서있는 지금
선명한 목소리로
널 사랑한다고
말할게

Bugs 님이 등록해 주신 가사입니다.
						
가사 오류 제보",6060.0,발라드,발라드,2021.05.19,https://www.news1.kr/articles/5039372,http://sports.khan.co.kr/news/sk_index.html?art_id=202301192303003&sec_id=540301&pt=nv,http://enter.etoday.co.kr/news/view/234226
나비무덤,포맨 (4MEN),나비무덤,6191659,4084203,https://image.bugsm.co.kr/album/images/200/40842/4084203.jpg?version=20230302064656.0,"Standing beside you as sleep
Wipe my tears as I close the door
불러도 대답이 없어요
제발 날 불러봐요
아무 말도 안 할 거란 걸 알아
그렇게 못할 것도 알아
하지만 너 무슨 말을 할까 봐
조용히 귀를 열고서
아직 너의 집을 서성거리죠
아마도 예전처럼
날 보며 웃을 네 생각에
자꾸 잊게 되어가는 나
나는 너를 못 봐도
난 너와 아직 있는데
매일 네 생각 날 때면
이렇게 난 네 앞에 앉아 있어
세월 흘러가면서 난 자꾸 지워지겠지
이젠 더 이상 버티기 힘들어
너를 잊는 나를 용서해
내 눈물도 말라 가겠죠 이젠
더 이상 흐르지도 않죠
하지만 더 깊어가는 숨소리
내 곁에 멈춰 잠들어
하루 종일 너를 찾게 되는 걸
아마도 예전처럼
너 따뜻하진 않겠지만
그건 나의 운명이니까
나는 너를 못 봐도
나 항상 여기 있는데
매일 네 생각 날 때면
이렇게 난 네 앞에 앉아 있어
세월 흘러가면서 난 자꾸 지워가겠지
이젠 더 이상 버티기 힘들어
너를 잊는 나를 용서해
너를 이렇게 안아봐도 난 아무 느낌 없어
이젠 너 없는 건지 왜 그걸 모르지
넌 이미 여기엔 없는데
하늘이 갈라놓은 너와의 이별을
난 돌릴 순 없어
나 잊혀진 추억에 널 남겨둘게
나는 너를 못 봐도
나 항상 여기 있는데
매일 네 생각 날 때면
이렇게 난 네 앞에 앉아 있어
세월 흘러가면서 난 자꾸 지워가겠지
이젠 더 이상 버티기 힘들어
너를 잊는 나를 용서해
Standing beside you as sleep
Wipe my tears as I close the door

Bugs 님이 등록해 주신 가사입니다.
						
가사 오류 제보",333.0,발라드,발라드,2023.03.01,http://sports.khan.co.kr/news/sk_index.html?art_id=202305091926003&sec_id=540101&pt=nv,https://www.munhwa.com/news/view.html?no=2023050301039912069006,https://tenasia.hankyung.com/music/article/2023032250004
그댄 행복에 살텐데 (2022),최유리,그댄 행복에 살텐데 (2022),32737858,20536736,https://image.bugsm.co.kr/album/images/200/205367/20536736.jpg?version=20230104002539.0,"혼자인 시간이 싫어
시계를 되돌려 봤죠
앞으로 앞으로
그대를 만나게
그러다 또 하루만 갔죠
다시 돌아와 줄 거라고
나보다 아파할 거라고
내 맘이 내 맘을
눈물이 눈물을
다독이며 보내온 거죠
넌 나를 버렸다는
미안함도 잊고
그댄 행복에 살 텐데
왜 또 생각하니
왜 또 전화기를 보니
왜 그 사진은 다시 꺼냈니
왜 또 멍해졌니 닮은
뒷모습을 봤니
왜 나를 버린 사람
잊지 못하니
그대 스쳐갔던 흔적이
그대 할퀴고 간 상처가
너무나 많아서
자꾸만 아파서
눈물도 알아서 흐르죠
또 나를 버렸다는
미안함도 잊고
그댄 행복에 살 텐데
왜 또 생각하니
왜 또 전화기를 보니
왜 그 사진은 다시 꺼냈니
왜 또 멍해졌니 닮은
뒷모습을 봤니
왜 나를 버린 사람
잊지 못하니
사랑 같은 건
영원 같은 건
내겐 없잖아
왜 또 생각하니
왜 또 전화기를 보니
왜 그 사진은 다시 꺼냈니
왜 또 멍해졌니 닮은
뒷모습을 봤니
왜 나를 버린 사람
잊지 못하니

Bugs 님이 등록해 주신 가사입니다.
						
가사 오류 제보",1190.0,"인디, 발라드","발라드, 인디 팝",2022.12.27,https://tenasia.hankyung.com/music/article/2023050899654,https://www.artinsight.co.kr/news/view.php?no=64639,http://www.newsis.com/view/?id=NISX20230411_0002262733&cID=10503&pID=10500
취중고백,김민석 (멜로망스),취중고백,6140459,4069154,https://image.bugsm.co.kr/album/images/200/40691/4069154.jpg?version=20211219180024.0,"뭐하고 있었니 늦었지만
잠시 나올래
너의 집 골목에 있는
놀이터에 앉아 있어 
친구들 만나서 오랜만에 
술을 좀 했는데 
자꾸만 니 얼굴 떠올라 
무작정 달려왔어 
이 맘 모르겠니 
요즘 난 미친 사람처럼 
너만 생각해 
대책없이 네가 점점 좋아져 
아냐 안 취했어 진짜야 
널 정말 사랑해 
눈물이 날만큼 원하고 있어
정말로 몰랐니
가끔 전화해 장난치듯 
주말엔 뭐할거냐며
너의 관심 끌던 나를 
그리고 한번씩 누나 주려 샀는데
너 그냥 준다고
생색 낸 선물도 너 때문에 산거야
이 맘 모르겠니
요즘 난 미친 사람처럼 
너만 생각해 
대책없이 네가 점점 좋아져 
아냐 안 취했어 진짜야 
널 정말 사랑해 
진심이야 믿어줘 
갑자기 이런 말 놀랐다면 미안해 
부담이 되는게 당연해 
이해해 널 
하지만 내 고백도 이해해 주겠니 oh
지금 당장 대답하진마
나와 일주일만 사귀어줄래 
후회없이 잘 해주고 싶은데 
그 후에도 니가 싫다면 
나 그때 포기할게
귀찮게 안할게 혼자 아플게 
진심이야 너를 사랑하고 있어

Bugs 님이 등록해 주신 가사입니다.
						
가사 오류 제보",4508.0,발라드,발라드,2021.12.19,http://sports.khan.co.kr/news/sk_index.html?art_id=202305100946003&sec_id=540201&pt=nv,http://enter.etoday.co.kr/news/view/241384,http://www.topstarnews.net/news/articleView.html?idxno=15333485
혼자서 걸어요 (Prod. by 나얼),태연 (TAEYEON),나얼 <Ballad Pop City>,6189041,4083499,https://image.bugsm.co.kr/album/images/200/40834/4083499.jpg?version=20230419010507.0,"그대여
보고 있나요
듣고 있나요
아무렇지도 않나요
난 그대 없는 하루가
고갤 숙이듯 너무도 낯설죠

그대여
알고 있나요
할 수 있나요
귀를 기울이나요
난 그대 없는 공기가
어깨를 누른 듯 너무나 무겁죠

들리나요
얼마나 더 아파해야
살아질까요
혼자서 걸어요
그뿐이죠
어둔 밤을
맞이하는 거죠

그대 없는 내가
잘할 수 있도록
날 위해 기도해요
혼자서 울어요
매일 그래요
이 밤을
헤매이는 거죠

그대 없는 내가
일어설 수 있게
생각하지 말고 내게 와줘요

들리나요
얼마나 더 기다려야
그대가 올까요
혼자서 걸어요
그뿐이죠
어둔 밤을
맞이하는 거죠

그대 없는 내가
잘할 수 있도록
날 위해 기도해요
혼자서 말해요
늘 말이에요
모진 밤을
마주하는 거죠

그대 없는 내가
일어설 수 있게
살아갈 수 있게
생각하지 말고 내게 와줘요

Bugs 님이 등록해 주신 가사입니다.
						
가사 오류 제보",878.0,발라드,발라드,2023.02.02,http://www.newsis.com/view/?id=NISX20230505_0002292384&cID=10601&pID=10600,http://www.topstarnews.net/news/articleView.html?idxno=15334214,https://www.bntnews.co.kr/article/view/bnt202305080046
해요 (2022),#안녕,해요 (2022),32558931,20472041,https://image.bugsm.co.kr/album/images/200/204720/20472041.jpg?version=20221201005747.0,"그녀와 나는요 그땐 참 어렸어요
많이 사랑했고 때론 많이 다퉜었죠
지금 생각하면 모두 내 잘못이죠
마지막 그날도 그녀는 울었어
나는 그녈 잡지 못했죠
지금까지도 너무 후회가 돼요
그 후로 누굴 사랑한 적 없어 아직은
그녀와 나는요
언젠가 만날 거죠
변해버린 모습 변해버린 시간 속에
하지만 괜찮아 내 눈엔 아름답던
예전 모습 그대로 일 거예요
그녀도 날 못 잊을 거야 나는 믿어요
그만큼 사랑했죠
그래서 우린 한 번은 만나야만 해요
그녀의 친구라도 이 노랠 듣는다면
그녀에게 전해줘요
내가 아직 사랑한다고
우리가 처음 만난 그 시간 그 자리에
내가 매일 기다린다고
언제라도
그녀도 날 못 잊을 거야 나는 믿어요
그만큼 사랑했죠
그래서 우린 한 번은 만나야만 해요
그녀의 친구라도 이 노랠 듣는다면
그녀에게 전해줘요
내가 아직 사랑한다고
우리가 처음 만난 그 시간 그 자리에
내가 매일 기다린다고
그녀의 친구라도 이 노랠 듣는다면
그녀에게 전해줘요
내가 아직 사랑한다고
우리가 처음 만난 그 시간 그 자리에
내가 매일 기다린다고
내가 매일 기다린다고

Bugs 님이 등록해 주신 가사입니다.
						
가사 오류 제보",1780.0,발라드,발라드,2022.06.07,,,
"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim),'키스 먼저 할까요?' OST Part.3,30994623,20154722,https://image.bugsm.co.kr/album/images/200/201547/20154722.jpg?version=20190515010725.0,"네가 없이 웃을 수 있을까
생각만 해도 눈물이나
힘든 시간 날 지켜준 사람
이제는 내가 그댈 지킬 테니

너의 품은 항상 따뜻했어
고단했던 나의 하루에 유일한 휴식처 

나는 너 하나로 충분해
긴 말 안 해도 눈빛으로 다 아니깐
한 송이의 꽃이 피고 지는
모든 날 모든 순간 함께해

햇살처럼 빛나고 있었지
나를 보는 네 눈빛은
꿈이라고 해도 좋을 만큼
그 모든 순간은 눈부셨다

불안했던 나의 고된 삶에
한줄기 빛처럼 다가와 날 웃게 해준 너 

나는 너 하나로 충분해
긴 말 안 해도 눈빛으로 다 아니깐
한 송이의 꽃이 피고 지는
모든 날 모든 순간 함께해

알 수 없는 미래지만
네 품속에 있는 지금 순간 순간이
영원 했으면 해 

갈게 바람이 좋은 날에
햇살 눈부신 어떤 날에 너에게로
처음 내게 왔던 그날처럼
모든 날 모든 순간 함께해

Bugs 님이 등록해 주신 가사입니다.
						
가사 오류 제보",28159.0,"발라드, OST","발라드, TV 드라마",2018.03.20,http://www.osen.co.kr/article/G1112098388,http://www.osen.co.kr/article/G1112098384,http://www.osen.co.kr/article/G1112098385
그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집,6167930,4077595,https://image.bugsm.co.kr/album/images/200/40775/4077595.jpg?version=20221216020851.0,"잘 지냈지? 조금은 어색해
요즘 좋아 보여 인사 나누며
사실 궁금한 게 너무 많았는데 반가움에 멍해졌죠
생각보다 오래 된 것 같은
우리 수다스럽던 그때가 생각나
뭐가 그렇게도 할 말이 많아서 밤을 지새우곤 했죠
그리운 목소리 그리던 얼굴 참 많이도 기다렸어
다시 만나자는 너의 한마디에 울컥 눈물이 나
결국 너였단 걸
알아
기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼
서로를 알아보고 그렇게 눈앞에 서있죠
우리 사랑했던 우리 다시 만나 그때 그 순간 그대로
사랑했고 사랑할 거니까
같이 듣던 노래 그때 그 거리를
이제 혼자 아닌 너와 둘이 걸어
다시 오른쪽에 나란히 발맞춰 같은 노래를 부르죠
그리운 만남을 그리던 날들 참 많이도 기다렸어
다시 너를 만나 더욱 더 소중해 같은 마음이란 걸
알아
기다림의 끝은 기적이 되고
기적 같은 우린 운명처럼
서로를 알아보고 그렇게 눈앞에 서있죠
우리 사랑했던 우리 다시 만나 그때 그 순간 그대로
사랑했고 사랑할 거니까
처음 느낌 그대로 설렘이 가득한 날
고마워 다시 돌아와줘서
그때 그 순간처럼 날
안아줘
결국 기다림의 끝은 기적이 되고
기적 같은 우린 운명처럼
서로를 알아보고 그렇게 눈앞에 서있죠
우리 사랑했던 우리 다시 만나 그때 그 순간 그대로
사랑했고 사랑할 거니까

Bugs 님이 등록해 주신 가사입니다.
						
가사 오류 제보",3484.0,"댄스/팝, 발라드, 알앤비/소울","발라드, 댄스 팝, 알앤비",2022.07.09,http://www.topstarnews.net/news/articleView.html?idxno=15326383,http://www.topstarnews.net/news/articleView.html?idxno=15323213,http://www.topstarnews.net/news/articleView.html?idxno=15316346
걸음을 멈추는 날,나얼(Na-Ul),나얼 <Ballad Pop City>,6191392,4084111,https://image.bugsm.co.kr/album/images/200/40841/4084111.jpg?version=20230419004442.0,"바람이 마음을 스치는 날에는
그대 숨결을 느낄 수 있죠
난 잘 있어요 아무 걱정 말아요
이젠 제법 익숙한 걸요
추억이 마음을 여미는 날에는
그대 생각을 멈출 수 없죠
지나간 기억들을
떠올리는 일은
어떤 의미도 없는걸요
오 걸음을 멈추는 그런 날엔
우리의 자국들이 그 자리에
흩어지고 곧 사라져 또 그렇게
내 사랑은 어디에 있나요
초라한 나를 남겨 둔 채로
나는요
더 이상은 안돼요
정말로 나를 잊었나요
그댄 지금 어디에 있나요
내가 없는 날들이 살아지던가요
더는 힘들어요
제발 다시 돌아와 줘요
내게로
바래짐 위로
떠도는 기억
머문 그 자리엔
내 모자람 위로
가버린 날들
다시 안을 수 있도록 그대
내 사랑은 어디에 있나요
초라한 나를 남겨 둔 채로
나는요
더 이상은 안돼요
정말로 나를 잊었나요
그댄 지금 어디에 있나요
내가 없는 날들이 살아지던가요
더는 힘들어요
제발 다시 돌아와 줘요
내게로

Bugs 님이 등록해 주신 가사입니다.
						
가사 오류 제보",381.0,발라드,발라드,2023.02.27,http://www.sportsworldi.com/Articles/SWIssue/Article.asp?aid=20120920024414&OutUrl=naver,http://koreajoongangdaily.joins.com/news/article/article.aspx?aid=3035923,http://www.breaknews.com/859136
나의 X에게,경서,나의 X에게,6158753,4074701,https://image.bugsm.co.kr/album/images/200/40747/4074701.jpg?version=20220425063233.0,"우리 다시 만날래
예쁘게 빛나던
모든 추억들이
너무 그리워
너의 품에 안길래
이 밤이 새도록
네게 말할 거야
너를 좋아한다고
안녕 그대야
요즘 어떻게 지내
가로수길 걷다가
생각이 나서
행복해 보이는 사람들 속에
우리 둘만 없어서
어색했었어
늘 집에 갈 땐
항상 뒤돌아보면
날 보며 웃어주던
네가 생각났어
우리 다시 만날래
예쁘게 빛나던
모든 추억들이
너무 그리워
너의 품에 안길래
이 밤이 새도록
네게 말할 거야
너를 좋아한다고
토요일마다 가던
한강공원에
이어폰 하나씩
나눠끼고서
벚꽃엔딩같이 듣고 있으면
부러울 게 없었어
너만 있으면
널 사랑할 때
내가 너무 그리워
날 보며 웃어주던
네가 보고 싶어
우리 다시 만날래
예쁘게 빛나던
모든 추억들이
너무 그리워
너의 품에 안길래
이 밤이 새도록
네게 말할 거야
너를 좋아한다고
같이 별 보러 갈래
널 다시 만나면
네 옆에 기대서
잠들고 싶어
너의 품에 안길래
이 밤이 새도록
내 곁에 있어줘
내겐 너뿐이라고

Bugs 님이 등록해 주신 가사입니다.
						
가사 오류 제보",4102.0,"인디, 발라드","발라드, 인디 팝",2022.04.24,https://www.mk.co.kr/article/10732000,http://moneys.mt.co.kr/news/mwView.php?no=2023050817350919350,https://decenter.kr/NewsView/29PI0OGJ4X
사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,6131070,4065831,https://image.bugsm.co.kr/album/images/200/40658/4065831.jpg?version=20230422005430.0,"눈물이 난다 이 길을 걸으면
그 사람 손길이 자꾸 생각이 난다
붙잡지 못하고 가슴만 떨었지
내 아름답던 사람아
사랑이란 게 참 쓰린 거더라
잡으려 할수록 더 멀어지더라
이별이란 게 참 쉬운 거더라
내 잊지 못할 사람아
사랑아 왜 도망가
수줍은 아이처럼
행여 놓아버릴까 봐
꼭 움켜쥐지만
그리움이 쫓아 사랑은 늘 도망가
잠시 쉬어가면 좋을 텐데
바람이 분다 옷깃을 세워도
차가운 이별의 눈물이 차올라
잊지 못해서 가슴에 사무친
내 소중했던 사람아
사랑아 왜 도망가
수줍은 아이처럼
행여 놓아버릴까 봐
꼭 움켜쥐지만
그리움이 쫓아 사랑은 늘 도망가
잠시 쉬어가면 좋을 텐데
기다림도 애태움도 다 버려야 하는데
무얼 찾아 이 길을 서성일까
무얼 찾아 여기 있나
사랑아 왜 도망가
수줍은 아이처럼
행여 놓아버릴까 봐
꼭 움켜쥐지만
그리움이 쫓아 사랑은 늘 도망가
잠시 쉬어가면 좋을 텐데
잠시 쉬어가면 좋을 텐데

Bugs 님이 등록해 주신 가사입니다.
						
가사 오류 제보",9828.0,"발라드, OST","발라드, TV 드라마",2021.10.11,http://sports.khan.co.kr/news/sk_index.html?art_id=202305091825003&sec_id=540101&pt=nv,http://www.fnnews.com/news/202305100834300490,https://www.starnewskorea.com/stview.php?no=2023050905033526112
드라마,아이유(IU),조각집,6141496,4069567,https://image.bugsm.co.kr/album/images/200/40695/4069567.jpg?version=20220104003927.0,"나도 한때는 그이의 손을 잡고
내가 온 세상 주인공이 된 듯
꽃송이의 꽃잎 하나하나까지
모두 날 위해 피어났지
올림픽대로 뚝섬 유원지
서촌 골목골목 예쁜 식당
나를 휘청거리게 만든
주옥같은 대사들
다시 누군가 사랑할 수 있을까
예쁘다는 말 들을 수 있을까
하루 단 하루만 기회가 온다면
죽을힘을 다해 빛나리
언제부턴가 급격하게
단조로 바뀌던 배경음악
조명이 꺼진 세트장에
혼자 남겨진 나는
단역을 맡은 그냥 평범한 여자
꽃도 하늘도 한강도 거짓말
나의 드라마는 또 이렇게 끝나
나왔는지조차 모르게
끝났는지조차 모르게

Bugs 님이 등록해 주신 가사입니다.
						
가사 오류 제보",5973.0,"포크/어쿠스틱, 발라드","발라드, 포크 팝",2021.12.29,https://www.xportsnews.com/article/1721233,http://www.newsis.com/view/?id=NISX20230504_0002291611&cID=10601&pID=10600,https://www.hidoc.co.kr/healthstory/news/C0000790126
